Fecha_pd,Entidad,Data
2015-01-31,Aguascalientes,22.0
2015-01-31,Baja California,75.0
2015-01-31,Baja California Sur,20.0
2015-01-31,Campeche,13.0
2015-01-31,Chiapas,124.0
2015-01-31,Chihuahua,113.0
2015-01-31,Ciudad de México,101.0
2015-01-31,Coahuila de Zaragoza,83.0
2015-01-31,Colima,12.0
2015-01-31,Durango,40.0
2015-01-31,Guanajuato,205.0
2015-01-31,Guerrero,190.0
2015-01-31,Hidalgo,50.0
2015-01-31,Jalisco,150.0
2015-01-31,Michoacán de Ocampo,186.0
2015-01-31,Morelos,84.0
2015-01-31,México,340.0
2015-01-31,Nacional,2532.0
2015-01-31,Nayarit,8.0
2015-01-31,Nuevo León,66.0
2015-01-31,Oaxaca,0.0
2015-01-31,Puebla,90.0
2015-01-31,Querétaro,32.0
2015-01-31,Quintana Roo,38.0
2015-01-31,San Luis Potosí,33.0
2015-01-31,Sinaloa,97.0
2015-01-31,Sonora,72.0
2015-01-31,Tabasco,59.0
2015-01-31,Tamaulipas,100.0
2015-01-31,Tlaxcala,21.0
2015-01-31,Veracruz de Ignacio de la Llave,69.0
2015-01-31,Yucatán,5.0
2015-01-31,Zacatecas,34.0
2015-02-28,Aguascalientes,20.0
2015-02-28,Baja California,83.0
2015-02-28,Baja California Sur,11.0
2015-02-28,Campeche,7.0
2015-02-28,Chiapas,149.0
2015-02-28,Chihuahua,113.0
2015-02-28,Ciudad de México,148.0
2015-02-28,Coahuila de Zaragoza,38.0
2015-02-28,Colima,11.0
2015-02-28,Durango,44.0
2015-02-28,Guanajuato,167.0
2015-02-28,Guerrero,183.0
2015-02-28,Hidalgo,55.0
2015-02-28,Jalisco,133.0
2015-02-28,Michoacán de Ocampo,158.0
2015-02-28,Morelos,85.0
2015-02-28,México,250.0
2015-02-28,Nacional,2523.0
2015-02-28,Nayarit,11.0
2015-02-28,Nuevo León,67.0
2015-02-28,Oaxaca,105.0
2015-02-28,Puebla,85.0
2015-02-28,Querétaro,38.0
2015-02-28,Quintana Roo,38.0
2015-02-28,San Luis Potosí,22.0
2015-02-28,Sinaloa,118.0
2015-02-28,Sonora,70.0
2015-02-28,Tabasco,49.0
2015-02-28,Tamaulipas,130.0
2015-02-28,Tlaxcala,21.0
2015-02-28,Veracruz de Ignacio de la Llave,81.0
2015-02-28,Yucatán,5.0
2015-02-28,Zacatecas,28.0
2015-03-31,Aguascalientes,14.0
2015-03-31,Baja California,87.0
2015-03-31,Baja California Sur,11.0
2015-03-31,Campeche,18.0
2015-03-31,Chiapas,145.0
2015-03-31,Chihuahua,112.0
2015-03-31,Ciudad de México,130.0
2015-03-31,Coahuila de Zaragoza,49.0
2015-03-31,Colima,14.0
2015-03-31,Durango,42.0
2015-03-31,Guanajuato,172.0
2015-03-31,Guerrero,207.0
2015-03-31,Hidalgo,47.0
2015-03-31,Jalisco,120.0
2015-03-31,Michoacán de Ocampo,145.0
2015-03-31,Morelos,94.0
2015-03-31,México,264.0
2015-03-31,Nacional,2496.0
2015-03-31,Nayarit,14.0
2015-03-31,Nuevo León,80.0
2015-03-31,Oaxaca,0.0
2015-03-31,Puebla,103.0
2015-03-31,Querétaro,36.0
2015-03-31,Quintana Roo,43.0
2015-03-31,San Luis Potosí,33.0
2015-03-31,Sinaloa,108.0
2015-03-31,Sonora,87.0
2015-03-31,Tabasco,56.0
2015-03-31,Tamaulipas,121.0
2015-03-31,Tlaxcala,29.0
2015-03-31,Veracruz de Ignacio de la Llave,76.0
2015-03-31,Yucatán,13.0
2015-03-31,Zacatecas,26.0
2015-04-30,Aguascalientes,21.0
2015-04-30,Baja California,94.0
2015-04-30,Baja California Sur,22.0
2015-04-30,Campeche,10.0
2015-04-30,Chiapas,162.0
2015-04-30,Chihuahua,82.0
2015-04-30,Ciudad de México,130.0
2015-04-30,Coahuila de Zaragoza,40.0
2015-04-30,Colima,12.0
2015-04-30,Durango,44.0
2015-04-30,Guanajuato,194.0
2015-04-30,Guerrero,251.0
2015-04-30,Hidalgo,43.0
2015-04-30,Jalisco,141.0
2015-04-30,Michoacán de Ocampo,157.0
2015-04-30,Morelos,60.0
2015-04-30,México,257.0
2015-04-30,Nacional,2553.0
2015-04-30,Nayarit,17.0
2015-04-30,Nuevo León,77.0
2015-04-30,Oaxaca,0.0
2015-04-30,Puebla,109.0
2015-04-30,Querétaro,31.0
2015-04-30,Quintana Roo,59.0
2015-04-30,San Luis Potosí,27.0
2015-04-30,Sinaloa,126.0
2015-04-30,Sonora,61.0
2015-04-30,Tabasco,56.0
2015-04-30,Tamaulipas,130.0
2015-04-30,Tlaxcala,39.0
2015-04-30,Veracruz de Ignacio de la Llave,70.0
2015-04-30,Yucatán,7.0
2015-04-30,Zacatecas,24.0
2015-05-31,Aguascalientes,18.0
2015-05-31,Baja California,93.0
2015-05-31,Baja California Sur,18.0
2015-05-31,Campeche,10.0
2015-05-31,Chiapas,134.0
2015-05-31,Chihuahua,111.0
2015-05-31,Ciudad de México,161.0
2015-05-31,Coahuila de Zaragoza,47.0
2015-05-31,Colima,18.0
2015-05-31,Durango,53.0
2015-05-31,Guanajuato,208.0
2015-05-31,Guerrero,248.0
2015-05-31,Hidalgo,49.0
2015-05-31,Jalisco,128.0
2015-05-31,Michoacán de Ocampo,165.0
2015-05-31,Morelos,79.0
2015-05-31,México,253.0
2015-05-31,Nacional,2762.0
2015-05-31,Nayarit,12.0
2015-05-31,Nuevo León,83.0
2015-05-31,Oaxaca,129.0
2015-05-31,Puebla,98.0
2015-05-31,Querétaro,41.0
2015-05-31,Quintana Roo,44.0
2015-05-31,San Luis Potosí,34.0
2015-05-31,Sinaloa,137.0
2015-05-31,Sonora,91.0
2015-05-31,Tabasco,52.0
2015-05-31,Tamaulipas,128.0
2015-05-31,Tlaxcala,22.0
2015-05-31,Veracruz de Ignacio de la Llave,68.0
2015-05-31,Yucatán,13.0
2015-05-31,Zacatecas,17.0
2015-06-30,Aguascalientes,16.0
2015-06-30,Baja California,106.0
2015-06-30,Baja California Sur,17.0
2015-06-30,Campeche,13.0
2015-06-30,Chiapas,116.0
2015-06-30,Chihuahua,130.0
2015-06-30,Ciudad de México,127.0
2015-06-30,Coahuila de Zaragoza,33.0
2015-06-30,Colima,17.0
2015-06-30,Durango,44.0
2015-06-30,Guanajuato,181.0
2015-06-30,Guerrero,183.0
2015-06-30,Hidalgo,38.0
2015-06-30,Jalisco,130.0
2015-06-30,Michoacán de Ocampo,168.0
2015-06-30,Morelos,65.0
2015-06-30,México,228.0
2015-06-30,Nacional,2471.0
2015-06-30,Nayarit,15.0
2015-06-30,Nuevo León,85.0
2015-06-30,Oaxaca,0.0
2015-06-30,Puebla,108.0
2015-06-30,Querétaro,35.0
2015-06-30,Quintana Roo,46.0
2015-06-30,San Luis Potosí,41.0
2015-06-30,Sinaloa,104.0
2015-06-30,Sonora,105.0
2015-06-30,Tabasco,62.0
2015-06-30,Tamaulipas,123.0
2015-06-30,Tlaxcala,23.0
2015-06-30,Veracruz de Ignacio de la Llave,74.0
2015-06-30,Yucatán,9.0
2015-06-30,Zacatecas,29.0
2015-07-31,Aguascalientes,16.0
2015-07-31,Baja California,113.0
2015-07-31,Baja California Sur,17.0
2015-07-31,Campeche,2.0
2015-07-31,Chiapas,122.0
2015-07-31,Chihuahua,118.0
2015-07-31,Ciudad de México,139.0
2015-07-31,Coahuila de Zaragoza,47.0
2015-07-31,Colima,13.0
2015-07-31,Durango,41.0
2015-07-31,Guanajuato,199.0
2015-07-31,Guerrero,243.0
2015-07-31,Hidalgo,45.0
2015-07-31,Jalisco,153.0
2015-07-31,Michoacán de Ocampo,192.0
2015-07-31,Morelos,71.0
2015-07-31,México,196.0
2015-07-31,Nacional,2587.0
2015-07-31,Nayarit,13.0
2015-07-31,Nuevo León,83.0
2015-07-31,Oaxaca,0.0
2015-07-31,Puebla,93.0
2015-07-31,Querétaro,36.0
2015-07-31,Quintana Roo,49.0
2015-07-31,San Luis Potosí,35.0
2015-07-31,Sinaloa,112.0
2015-07-31,Sonora,97.0
2015-07-31,Tabasco,63.0
2015-07-31,Tamaulipas,120.0
2015-07-31,Tlaxcala,19.0
2015-07-31,Veracruz de Ignacio de la Llave,96.0
2015-07-31,Yucatán,11.0
2015-07-31,Zacatecas,33.0
2015-08-31,Aguascalientes,14.0
2015-08-31,Baja California,114.0
2015-08-31,Baja California Sur,28.0
2015-08-31,Campeche,9.0
2015-08-31,Chiapas,128.0
2015-08-31,Chihuahua,127.0
2015-08-31,Ciudad de México,133.0
2015-08-31,Coahuila de Zaragoza,39.0
2015-08-31,Colima,17.0
2015-08-31,Durango,33.0
2015-08-31,Guanajuato,227.0
2015-08-31,Guerrero,263.0
2015-08-31,Hidalgo,69.0
2015-08-31,Jalisco,131.0
2015-08-31,Michoacán de Ocampo,188.0
2015-08-31,Morelos,76.0
2015-08-31,México,228.0
2015-08-31,Nacional,2777.0
2015-08-31,Nayarit,18.0
2015-08-31,Nuevo León,82.0
2015-08-31,Oaxaca,79.0
2015-08-31,Puebla,115.0
2015-08-31,Querétaro,33.0
2015-08-31,Quintana Roo,51.0
2015-08-31,San Luis Potosí,26.0
2015-08-31,Sinaloa,123.0
2015-08-31,Sonora,97.0
2015-08-31,Tabasco,69.0
2015-08-31,Tamaulipas,109.0
2015-08-31,Tlaxcala,23.0
2015-08-31,Veracruz de Ignacio de la Llave,90.0
2015-08-31,Yucatán,9.0
2015-08-31,Zacatecas,29.0
2015-09-30,Aguascalientes,27.0
2015-09-30,Baja California,120.0
2015-09-30,Baja California Sur,32.0
2015-09-30,Campeche,8.0
2015-09-30,Chiapas,115.0
2015-09-30,Chihuahua,91.0
2015-09-30,Ciudad de México,120.0
2015-09-30,Coahuila de Zaragoza,36.0
2015-09-30,Colima,23.0
2015-09-30,Durango,33.0
2015-09-30,Guanajuato,212.0
2015-09-30,Guerrero,217.0
2015-09-30,Hidalgo,87.0
2015-09-30,Jalisco,145.0
2015-09-30,Michoacán de Ocampo,140.0
2015-09-30,Morelos,72.0
2015-09-30,México,247.0
2015-09-30,Nacional,2548.0
2015-09-30,Nayarit,10.0
2015-09-30,Nuevo León,101.0
2015-09-30,Oaxaca,0.0
2015-09-30,Puebla,99.0
2015-09-30,Querétaro,40.0
2015-09-30,Quintana Roo,51.0
2015-09-30,San Luis Potosí,30.0
2015-09-30,Sinaloa,109.0
2015-09-30,Sonora,80.0
2015-09-30,Tabasco,44.0
2015-09-30,Tamaulipas,97.0
2015-09-30,Tlaxcala,35.0
2015-09-30,Veracruz de Ignacio de la Llave,87.0
2015-09-30,Yucatán,8.0
2015-09-30,Zacatecas,32.0
2015-10-31,Aguascalientes,16.0
2015-10-31,Baja California,110.0
2015-10-31,Baja California Sur,9.0
2015-10-31,Campeche,10.0
2015-10-31,Chiapas,132.0
2015-10-31,Chihuahua,89.0
2015-10-31,Ciudad de México,130.0
2015-10-31,Coahuila de Zaragoza,32.0
2015-10-31,Colima,24.0
2015-10-31,Durango,39.0
2015-10-31,Guanajuato,221.0
2015-10-31,Guerrero,237.0
2015-10-31,Hidalgo,62.0
2015-10-31,Jalisco,169.0
2015-10-31,Michoacán de Ocampo,173.0
2015-10-31,Morelos,47.0
2015-10-31,México,213.0
2015-10-31,Nacional,2619.0
2015-10-31,Nayarit,10.0
2015-10-31,Nuevo León,95.0
2015-10-31,Oaxaca,0.0
2015-10-31,Puebla,122.0
2015-10-31,Querétaro,38.0
2015-10-31,Quintana Roo,58.0
2015-10-31,San Luis Potosí,34.0
2015-10-31,Sinaloa,123.0
2015-10-31,Sonora,91.0
2015-10-31,Tabasco,55.0
2015-10-31,Tamaulipas,102.0
2015-10-31,Tlaxcala,28.0
2015-10-31,Veracruz de Ignacio de la Llave,107.0
2015-10-31,Yucatán,6.0
2015-10-31,Zacatecas,37.0
2015-11-30,Aguascalientes,9.0
2015-11-30,Baja California,118.0
2015-11-30,Baja California Sur,10.0
2015-11-30,Campeche,6.0
2015-11-30,Chiapas,107.0
2015-11-30,Chihuahua,99.0
2015-11-30,Ciudad de México,136.0
2015-11-30,Coahuila de Zaragoza,34.0
2015-11-30,Colima,30.0
2015-11-30,Durango,36.0
2015-11-30,Guanajuato,206.0
2015-11-30,Guerrero,239.0
2015-11-30,Hidalgo,58.0
2015-11-30,Jalisco,172.0
2015-11-30,Michoacán de Ocampo,156.0
2015-11-30,Morelos,56.0
2015-11-30,México,228.0
2015-11-30,Nacional,2635.0
2015-11-30,Nayarit,11.0
2015-11-30,Nuevo León,73.0
2015-11-30,Oaxaca,103.0
2015-11-30,Puebla,100.0
2015-11-30,Querétaro,45.0
2015-11-30,Quintana Roo,55.0
2015-11-30,San Luis Potosí,35.0
2015-11-30,Sinaloa,120.0
2015-11-30,Sonora,71.0
2015-11-30,Tabasco,54.0
2015-11-30,Tamaulipas,102.0
2015-11-30,Tlaxcala,20.0
2015-11-30,Veracruz de Ignacio de la Llave,102.0
2015-11-30,Yucatán,5.0
2015-11-30,Zacatecas,39.0
2015-12-31,Aguascalientes,18.0
2015-12-31,Baja California,106.0
2015-12-31,Baja California Sur,6.0
2015-12-31,Campeche,12.0
2015-12-31,Chiapas,118.0
2015-12-31,Chihuahua,101.0
2015-12-31,Ciudad de México,130.0
2015-12-31,Coahuila de Zaragoza,57.0
2015-12-31,Colima,31.0
2015-12-31,Durango,45.0
2015-12-31,Guanajuato,206.0
2015-12-31,Guerrero,260.0
2015-12-31,Hidalgo,48.0
2015-12-31,Jalisco,164.0
2015-12-31,Michoacán de Ocampo,213.0
2015-12-31,Morelos,62.0
2015-12-31,México,253.0
2015-12-31,Nacional,2689.0
2015-12-31,Nayarit,8.0
2015-12-31,Nuevo León,96.0
2015-12-31,Oaxaca,0.0
2015-12-31,Puebla,84.0
2015-12-31,Querétaro,42.0
2015-12-31,Quintana Roo,39.0
2015-12-31,San Luis Potosí,42.0
2015-12-31,Sinaloa,127.0
2015-12-31,Sonora,61.0
2015-12-31,Tabasco,66.0
2015-12-31,Tamaulipas,121.0
2015-12-31,Tlaxcala,43.0
2015-12-31,Veracruz de Ignacio de la Llave,88.0
2015-12-31,Yucatán,13.0
2015-12-31,Zacatecas,29.0
2016-01-31,Aguascalientes,16.0
2016-01-31,Baja California,118.0
2016-01-31,Baja California Sur,11.0
2016-01-31,Campeche,19.0
2016-01-31,Chiapas,123.0
2016-01-31,Chihuahua,98.0
2016-01-31,Ciudad de México,114.0
2016-01-31,Coahuila de Zaragoza,39.0
2016-01-31,Colima,36.0
2016-01-31,Durango,23.0
2016-01-31,Guanajuato,200.0
2016-01-31,Guerrero,228.0
2016-01-31,Hidalgo,75.0
2016-01-31,Jalisco,149.0
2016-01-31,Michoacán de Ocampo,153.0
2016-01-31,Morelos,54.0
2016-01-31,México,240.0
2016-01-31,Nacional,2642.0
2016-01-31,Nayarit,8.0
2016-01-31,Nuevo León,92.0
2016-01-31,Oaxaca,116.0
2016-01-31,Puebla,88.0
2016-01-31,Querétaro,34.0
2016-01-31,Quintana Roo,22.0
2016-01-31,San Luis Potosí,26.0
2016-01-31,Sinaloa,127.0
2016-01-31,Sonora,90.0
2016-01-31,Tabasco,47.0
2016-01-31,Tamaulipas,105.0
2016-01-31,Tlaxcala,31.0
2016-01-31,Veracruz de Ignacio de la Llave,108.0
2016-01-31,Yucatán,9.0
2016-01-31,Zacatecas,43.0
2016-02-29,Aguascalientes,20.0
2016-02-29,Baja California,99.0
2016-02-29,Baja California Sur,8.0
2016-02-29,Campeche,10.0
2016-02-29,Chiapas,95.0
2016-02-29,Chihuahua,85.0
2016-02-29,Ciudad de México,136.0
2016-02-29,Coahuila de Zaragoza,30.0
2016-02-29,Colima,42.0
2016-02-29,Durango,33.0
2016-02-29,Guanajuato,212.0
2016-02-29,Guerrero,224.0
2016-02-29,Hidalgo,41.0
2016-02-29,Jalisco,151.0
2016-02-29,Michoacán de Ocampo,163.0
2016-02-29,Morelos,55.0
2016-02-29,México,206.0
2016-02-29,Nacional,2649.0
2016-02-29,Nayarit,8.0
2016-02-29,Nuevo León,126.0
2016-02-29,Oaxaca,100.0
2016-02-29,Puebla,107.0
2016-02-29,Querétaro,32.0
2016-02-29,Quintana Roo,24.0
2016-02-29,San Luis Potosí,23.0
2016-02-29,Sinaloa,123.0
2016-02-29,Sonora,123.0
2016-02-29,Tabasco,75.0
2016-02-29,Tamaulipas,112.0
2016-02-29,Tlaxcala,26.0
2016-02-29,Veracruz de Ignacio de la Llave,94.0
2016-02-29,Yucatán,17.0
2016-02-29,Zacatecas,49.0
2016-03-31,Aguascalientes,26.0
2016-03-31,Baja California,117.0
2016-03-31,Baja California Sur,10.0
2016-03-31,Campeche,12.0
2016-03-31,Chiapas,137.0
2016-03-31,Chihuahua,111.0
2016-03-31,Ciudad de México,121.0
2016-03-31,Coahuila de Zaragoza,41.0
2016-03-31,Colima,56.0
2016-03-31,Durango,46.0
2016-03-31,Guanajuato,193.0
2016-03-31,Guerrero,247.0
2016-03-31,Hidalgo,71.0
2016-03-31,Jalisco,173.0
2016-03-31,Michoacán de Ocampo,179.0
2016-03-31,Morelos,57.0
2016-03-31,México,232.0
2016-03-31,Nacional,2805.0
2016-03-31,Nayarit,8.0
2016-03-31,Nuevo León,91.0
2016-03-31,Oaxaca,132.0
2016-03-31,Puebla,101.0
2016-03-31,Querétaro,42.0
2016-03-31,Quintana Roo,16.0
2016-03-31,San Luis Potosí,18.0
2016-03-31,Sinaloa,90.0
2016-03-31,Sonora,95.0
2016-03-31,Tabasco,67.0
2016-03-31,Tamaulipas,136.0
2016-03-31,Tlaxcala,29.0
2016-03-31,Veracruz de Ignacio de la Llave,97.0
2016-03-31,Yucatán,11.0
2016-03-31,Zacatecas,43.0
2016-04-30,Aguascalientes,19.0
2016-04-30,Baja California,108.0
2016-04-30,Baja California Sur,14.0
2016-04-30,Campeche,15.0
2016-04-30,Chiapas,118.0
2016-04-30,Chihuahua,114.0
2016-04-30,Ciudad de México,120.0
2016-04-30,Coahuila de Zaragoza,37.0
2016-04-30,Colima,58.0
2016-04-30,Durango,23.0
2016-04-30,Guanajuato,185.0
2016-04-30,Guerrero,226.0
